Part,ElementID,vonMises_Pa,Sxx_Pa,Syy_Pa,Szz_Pa,Sxy_Pa,Syz_Pa,Szx_Pa
PART_003_R247G182B210A255,1,47337860.0,7950143.0,8693290.0,3530610.0,22802.14,7729809.0,41705163.66673086
PART_000_R31G119B180A255,2,40686840.0,7021233.0,13011460.0,4766855.0,-51989.22,7443236.0,34669488.041105255
PART_000_R31G119B180A255,3,42154090.0,7444943.0,13612750.0,5332575.0,-92604.8,4394242.0,34233759.542719595
PART_000_R31G119B180A255,4,42315140.0,7487262.0,14430770.0,5709847.0,-51181.59,3120704.0,33858485.45247504
PART_000_R31G119B180A255,5,43056370.0,7687701.0,14812680.0,5899771.0,-31990.65,1377726.0,34056224.08979986
PART_000_R31G119B180A255,6,42999630.0,7649243.0,14907050.0,5965819.0,6.112123e-05,-0.003018957,33948966.49826018
PART_000_R31G119B180A255,7,43056370.0,7687701.0,14812680.0,5899771.0,31990.65,-1377726.0,34056224.08979986
PART_000_R31G119B180A255,8,42315140.0,7487262.0,14430770.0,5709847.0,51181.59,-3120704.0,33858485.45247504
PART_000_R31G119B180A255,9,42154090.0,7444943.0,13612750.0,5332575.0,92604.8,-4394242.0,34233759.542719595
PART_000_R31G119B180A255,10,40686840.0,7021233.0,13011460.0,4766855.0,51989.22,-7443236.0,34669488.041105255
PART_001_R158G218B229A255,11,47337860.0,7950143.0,8693290.0,3530610.0,-22802.14,-7729809.0,41705163.66673086
PART_003_R247G182B210A255,12,36180560.0,10686480.0,7077190.0,418553.8,-44726.41,6303579.0,29575792.553829573
PART_001_R158G218B229A255,13,29728360.0,9783750.0,10714460.0,2354542.0,-77879.94,5857374.0,22353239.846947987
PART_001_R158G218B229A255,14,29959700.0,9894974.0,10954540.0,3259400.0,-140736.8,3384225.0,21183612.304491736
PART_001_R158G218B229A255,15,29497040.0,9955031.0,11406760.0,3787940.0,-113601.2,2444181.0,20411618.700459998
PART_001_R158G218B229A255,16,29799380.0,10120060.0,11624450.0,4050973.0,-56958.31,1067101.0,20312322.512202393
PART_001_R158G218B229A255,17,29633920.0,10082400.0,11654060.0,4140729.0,0.0001398835,-0.002307557,20135556.051351625
PART_001_R158G218B229A255,18,29799380.0,10120060.0,11624450.0,4050973.0,56958.31,-1067101.0,20312322.512202393
PART_001_R158G218B229A255,19,29497040.0,9955031.0,11406760.0,3787940.0,113601.2,-2444181.0,20411618.700459998
PART_001_R158G218B229A255,20,29959700.0,9894974.0,10954540.0,3259400.0,140736.8,-3384225.0,21183612.304491736
PART_001_R158G218B229A255,21,29728360.0,9783750.0,10714460.0,2354542.0,77879.94,-5857374.0,22353239.846947987
PART_001_R158G218B229A255,22,36180560.0,10686480.0,7077190.0,418553.8,44726.41,-6303579.0,29575792.553829573
PART_003_R247G182B210A255,23,27356300.0,8289203.0,5350636.0,-2543753.0,-133493.9,4920296.0,22810364.83866016
PART_001_R158G218B229A255,24,22601280.0,7678578.0,8084930.0,-768620.3,-152399.6,4548687.0,16754162.342787173
PART_001_R158G218B229A255,25,22889990.0,7791140.0,8409602.0,24595.52,-109602.6,2536034.0,15438651.494068531
PART_001_R158G218B229A255,26,22430830.0,7697676.0,8739873.0,551706.3,-110127.6,1833633.0,14623040.251619304
PART_001_R158G218B229A255,27,22630880.0,7813236.0,8876374.0,792373.5,-55685.67,793090.1,14447127.098599873
PART_001_R158G218B229A255,28,22482420.0,7759905.0,8901410.0,881785.8,6.944888e-05,-0.001722817,14268226.78879264
PART_001_R158G218B229A255,29,22630880.0,7813236.0,8876374.0,792373.5,55685.67,-793090.1,14447127.098599873
PART_001_R158G218B229A255,30,22430830.0,7697676.0,8739873.0,551706.3,110127.6,-1833633.0,14623040.251619304
PART_001_R158G218B229A255,31,22889990.0,7791140.0,8409602.0,24595.52,109602.6,-2536034.0,15438651.494068531
PART_001_R158G218B229A255,32,22601280.0,7678578.0,8084930.0,-768620.3,152399.6,-4548687.0,16754162.342787173
PART_001_R158G218B229A255,33,27356300.0,8289203.0,5350636.0,-2543753.0,133493.9,-4920296.0,22810364.83866016
PART_003_R247G182B210A255,34,18021210.0,5837846.0,3569211.0,-3475660.0,-134536.7,3306191.0,15821134.711867057
PART_001_R158G218B229A255,35,14694500.0,5377388.0,5348264.0,-1545649.0,-222009.8,3088877.0,11091402.828708645
PART_001_R158G218B229A255,36,14873780.0,5497047.0,5520827.0,-757747.1,-161695.7,1722716.0,9919926.324413287
PART_001_R158G218B229A255,37,14560380.0,5448601.0,5783880.0,-233525.7,-106853.8,1222449.0,9206679.153503112
PART_001_R158G218B229A255,38,14660490.0,5495249.0,5873634.0,23411.11,-59629.29,527919.5,9029132.64233358
PART_001_R158G218B229A255,39,14558410.0,5470510.0,5885280.0,114958.2,9.080068e-05,-0.001120739,8890006.661591526
PART_001_R158G218B229A255,40,14660490.0,5495249.0,5873634.0,23411.11,59629.29,-527919.5,9029132.64233358
PART_001_R158G218B229A255,41,14560380.0,5448601.0,5783880.0,-233525.7,106853.8,-1222449.0,9206679.153503112
PART_001_R158G218B229A255,42,14873780.0,5497047.0,5520827.0,-757747.1,161695.7,-1722716.0,9919926.324413287
PART_001_R158G218B229A255,43,14694500.0,5377388.0,5348264.0,-1545649.0,222009.8,-3088877.0,11091402.828708645
PART_001_R158G218B229A255,44,18021210.0,5837846.0,3569211.0,-3475660.0,134536.7,-3306191.0,15821134.711867057
PART_003_R247G182B210A255,45,9063721.0,2943386.0,1793941.0,-4497105.0,-152477.0,1674236.0,10722197.497951388
PART_001_R158G218B229A255,46,7413010.0,2717417.0,2698144.0,-2582699.0,-226150.1,1560279.0,7043245.621486094
PART_001_R158G218B229A255,47,7509571.0,2771083.0,2791881.0,-1814009.0,-187558.6,871045.5,5882918.615813041
PART_001_R158G218B229A255,48,7351458.0,2749585.0,2912980.0,-1318377.0,-125137.0,618312.2,5182689.598463285
PART_001_R158G218B229A255,49,7406655.0,2775376.0,2967428.0,-1078649.0,-59814.22,264126.2,4930177.980454858
PART_001_R158G218B229A255,50,7351562.0,2753468.0,2974522.0,-990093.6,7.506128e-05,-0.000564857,4807885.423235342
PART_001_R158G218B229A255,51,7406655.0,2775376.0,2967428.0,-1078649.0,59814.22,-264126.2,4930177.980454858
PART_001_R158G218B229A255,52,7351458.0,2749585.0,2912980.0,-1318377.0,125137.0,-618312.2,5182689.598463285
PART_001_R158G218B229A255,53,7509571.0,2771083.0,2791881.0,-1814009.0,187558.6,-871045.5,5882918.615813041
PART_001_R158G218B229A255,54,7413010.0,2717417.0,2698144.0,-2582699.0,226150.1,-1560279.0,7043245.621486094
PART_002_R214G39B40A255,55,9063721.0,2943386.0,1793941.0,-4497105.0,152477.0,-1674236.0,10722197.497951388
PART_003_R247G182B210A255,56,0.009908249,0.003188343,0.001894508,-4471977.0,-145929.7,0.001806297,7749814.275039968
PART_001_R158G218B229A255,57,0.008073075,0.00297681,0.002946803,-2512554.0,-245547.9,0.001731605,4372603.814928953
PART_001_R158G218B229A255,58,0.008202042,0.003031205,0.003034154,-1735067.0,-189861.6,0.0009398736,3023163.039753344
PART_001_R158G218B229A255,59,0.008024288,0.003003369,0.003195012,-1230641.0,-130337.3,0.000681512,2143454.0461500147
PART_001_R158G218B229A255,60,0.008085484,0.003034249,0.003226653,-988415.6,-63603.84,0.0002851018,1715526.8987568563
PART_001_R158G218B229A255,61,0.008024062,0.003007223,0.003260695,-898515.1,7.672165e-05,-3.522069e-07,1556273.8045678306
PART_001_R158G218B229A255,62,0.008083763,0.003033576,0.003226031,-988415.6,63603.84,-0.0002858097,1715526.8987568563
PART_001_R158G218B229A255,63,0.008020887,0.003001996,0.003193778,-1230641.0,130337.3,-0.000681946,2143454.0461500147
PART_001_R158G218B229A255,64,0.008196876,0.003029184,0.003032417,-1735067.0,189861.6,-0.0009400742,3023163.039753344
PART_001_R158G218B229A255,65,0.008066396,0.002974243,0.002944631,-2512554.0,245547.9,-0.00173103,4372603.814928953
PART_002_R214G39B40A255,66,0.009899003,0.003185184,0.001892887,-4471977.0,145929.7,-0.001805182,7749814.275039968
PART_003_R247G182B210A255,67,-9063721.0,-2943386.0,-1793941.0,-4497105.0,-152477.0,-1674236.0,10722197.497951388
